FAQ_ID,CATEGORY,TITLE,CONTENT,LAST_UPDATED
FAQ-001,返品・交換,返品の条件について,商品到着後7日以内であれば、未開封・未使用の商品に限り返品を承っております。返品をご希望の場合は、マイページの「注文履歴」から該当注文を選択し、「返品申請」ボタンよりお手続きください。なお、以下の場合は返品をお受けできませんのでご了承ください。（1）開封済み・使用済みの商品（2）お客様の責任による汚損・破損がある商品（3）セール品・アウトレット品（4）名入れ・刻印などカスタマイズ商品。返品送料は、お客様都合の場合はお客様負担、当店の不備による場合は当店負担となります。,2025-04-15
FAQ-002,返品・交換,交換手順について,商品の交換をご希望の場合、まずマイページの「注文履歴」から「交換申請」を行ってください。申請後、当店より交換手続きのご案内メールをお送りします。交換品の在庫がある場合は、返送品の到着確認後3営業日以内に代替品を発送いたします。サイズ違い・色違いの交換は1回まで送料無料で承ります。なお、交換品の在庫がない場合は返品扱いとし、全額返金させていただきます。交換申請の有効期限は商品到着後7日以内です。,2025-05-10
FAQ-003,返品・交換,不良品が届いた場合,万が一、不良品や破損した商品が届いた場合は、大変申し訳ございませんが、商品到着後3日以内にカスタマーサポートまでご連絡ください。写真の添付をお願いする場合がございます。確認後、送料当店負担にて交換品をお送りいたします。交換品の在庫がない場合は全額返金対応とさせていただきます。なお、輸送中の破損については配送業者の補償対象となる場合がございますので、外箱の破損がある場合は開封前にお写真をお撮りいただくようお願いいたします。,2025-06-05
FAQ-004,返品・交換,返金のタイミングについて,返品商品の到着確認後、返金処理を行います。クレジットカード決済の場合、返金処理から実際の口座への反映まで、ご利用のカード会社により1〜2ヶ月程度かかる場合がございます。電子マネー決済の場合は、各サービスのポイントとして5営業日以内に返還されます。コンビニ払いの場合は、ご指定の銀行口座へ10営業日以内にお振込みいたします。返金状況はマイページの「返品・返金履歴」からご確認いただけます。,2025-04-20
FAQ-005,返品・交換,クーリングオフについて,通信販売はクーリングオフ制度の適用対象外となっております。ただし、当店では独自の返品ポリシーとして、商品到着後7日以内の未開封品については返品を承っております。また、初回購入のお客様に限り「肌に合わない場合の返品保証」を設けており、使用後でも商品到着後14日以内であれば返品可能です（容器の残量が半分以上の場合に限ります）。詳細は商品ページの「返品保証」マークをご確認ください。,2025-07-01
FAQ-006,返品・交換,定期購入の解約・休止について,定期購入の解約・休止は、次回発送予定日の7日前までにマイページから手続き可能です。「定期購入管理」ページで該当の定期便を選択し、「解約」または「休止」ボタンをクリックしてください。休止の場合、最大3ヶ月間お届けを停止でき、再開も同ページから行えます。なお、初回特別価格でご購入いただいた場合、最低3回の継続が条件となっておりますので、3回目のお届け前の解約には通常価格との差額をご請求させていただく場合がございます。,2025-08-12
FAQ-007,配送,送料について,"通常配送は全国一律550円（税込）です。ご注文金額が5,500円（税込）以上の場合、送料無料となります。お届け先が離島・一部山間部の場合、追加送料として330円を頂戴しております。冷蔵配送が必要な商品（一部のオーガニック美容液等）は、別途クール便料金220円が加算されます。ゴールド・プラチナ会員のお客様は、ご注文金額に関わらず常時送料無料の特典がございます。まとめ買いで送料を節約されることをおすすめいたします。",2025-04-10
FAQ-008,配送,配送日数の目安,ご注文確定後、通常1〜3営業日以内に発送いたします。お届けまでの目安は、関東エリアは発送翌日、関西・中部エリアは発送後2日、北海道・九州・沖縄エリアは発送後3〜4日となっております。年末年始・大型連休・セール期間中は通常より1〜2日お時間をいただく場合がございます。お届け日時の指定も承っておりますので、ご注文時にご希望をお選びください。発送完了後、追跡番号をメールにてお知らせいたします。,2025-05-15
FAQ-009,配送,海外配送について,"現在、海外への配送はEMS（国際スピード郵便）にて承っております。対応地域はアジア・北米・ヨーロッパの主要国です。送料は地域と重量により異なり、アジア圏は1,500円〜、北米・ヨーロッパは3,000円〜となっております。お届けまでの日数は、アジア圏3〜7日、北米・ヨーロッパ7〜14日が目安です。なお、関税・輸入税はお客様のご負担となります。一部の商品（エアゾール製品、アルコール高含有製品等）は国際輸送規制により海外発送不可となっております。",2025-06-20
FAQ-010,配送,ギフト配送について,ギフト配送を承っております。ご注文時に「ギフト配送」オプションを選択してください。ギフト対応として、（1）ギフトラッピング（無料・有料550円の2種類）（2）メッセージカード（50文字以内、無料）（3）納品書への金額記載なし（4）お届け先への直接配送が可能です。有料ラッピングはリボン付きの専用ギフトボックスでお届けします。複数商品をまとめてギフト包装することも可能です。熨斗（のし）対応もございますので、ご希望の場合は注文時の備考欄にてお知らせください。,2025-07-10
