PRODUCT_ID,PRODUCT_NAME,BRAND,PRICE,DESCRIPTION,LAUNCH_DATE,IS_ORGANIC
1,薬用モイスチャーローション,ナチュラルボーテ,2980,セラミド配合の高保湿化粧水。敏感肌にもやさしい低刺激処方で、洗顔後の肌にすっとなじみ、長時間うるおいをキープします。無香料・無着色・パラベンフリー。,2024-06-01,FALSE
2,ディープモイスト乳液,ナチュラルボーテ,3280,化粧水の後に使うことで保湿効果を高める乳液。スクワランとヒアルロン酸のダブル保湿で、乾燥しがちな季節でもしっとりした肌を保ちます。,2024-06-01,FALSE
3,ビタミンC美容液 ピュアドロップ,ルミエール,4980,高濃度ビタミンC誘導体を15%配合した美容液。毛穴の引き締め、くすみケア、ハリ感アップの3つの効果を1本で実現。朝晩のスキンケアに。,2024-09-15,FALSE
4,オーガニッククレンジングオイル,ボタニカルピュア,2480,天然由来成分98%のクレンジングオイル。ウォータープルーフのメイクもするっと落とし、洗い上がりはしっとり。オーガニック認証取得済み。,2024-04-20,TRUE
5,UVプロテクトミルク SPF50+,ルミエール,1980,軽いつけ心地のUVミルク。SPF50+ PA++++の高い紫外線防御力でありながら、石けんで落とせるやさしい処方。化粧下地としても使えます。,2025-06-01,FALSE
6,薬用美白化粧水 ホワイトリペア,シロハダ,3480,トラネキサム酸配合の薬用美白化粧水。メラニンの生成を抑え、シミ・そばかすを防ぎます。とろみのあるテクスチャーで肌にしっかり浸透。医薬部外品。,2024-12-01,FALSE
7,エイジングケアクリーム リッチ,ナチュラルボーテ,5980,レチノールとコラーゲンを贅沢に配合したエイジングケアクリーム。年齢を重ねた肌にハリと弾力を与え、乾燥による小じわを目立たなくします。,2025-02-01,FALSE
8,毛穴すっきりクレイウォッシュ,ピュアスキン,1680,天然クレイ（カオリン・ベントナイト）配合の洗顔料。毛穴の汚れや余分な皮脂をしっかり吸着し、つるんとなめらかな肌に洗い上げます。,2025-05-01,FALSE
9,オーガニック保湿ミスト,ボタニカルピュア,1880,ローズウォーターとアロエベラ配合のオーガニックミスト。メイクの上からシュッとひと吹きで、日中の乾燥対策に。携帯に便利なコンパクトサイズ。,2025-07-01,TRUE
10,ナイトリペアオイル,ルミエール,4280,就寝前に使う夜用美容オイル。アルガンオイル・ホホバオイル・ローズヒップオイルをブレンドし、寝ている間に肌を集中ケア。翌朝のハリ感が違います。,2024-11-01,TRUE
11,リキッドファンデーション シルクフィット,メイクアトリエ,3980,まるで素肌のような仕上がりのリキッドファンデーション。薄づきなのにカバー力があり、崩れにくい処方で一日中きれいな肌をキープ。全8色展開。,2024-07-01,FALSE
12,マットリップ ベルベットルージュ,ルージュドパリ,2480,ひと塗りで鮮やかに発色するマットリップ。乾燥しにくいモイスチャー処方で、見た目はマットなのに唇はしっとり。人気のローズ系カラー。,2024-08-15,FALSE
13,アイシャドウパレット トワイライト,メイクアトリエ,3680,ブラウン系4色のアイシャドウパレット。繊細なパール感とマットの組み合わせで、ナチュラルからスモーキーまで幅広いアイメイクが楽しめます。,2024-10-01,FALSE
14,ロングラッシュマスカラ,ルージュドパリ,1780,繊維入りでまつ毛を長く見せるロングタイプマスカラ。ウォータープルーフでにじみにくく、きれいなセパレートまつ毛を一日中キープします。,2024-05-01,FALSE
15,クッションファンデ エアリーカバー,シロハダ,3280,ポンポンとのせるだけで美肌が完成するクッションファンデ。SPF35 PA++で紫外線対策も。忙しい朝のメイクに最適な時短アイテム。,2025-04-15,FALSE
16,リップティント ジューシーグロウ,ルージュドパリ,1980,果実のようなみずみずしい発色のリップティント。飲食しても落ちにくいティント処方で、唇に自然な血色感を長時間キープ。全6色。,2025-08-01,FALSE
17,アイブロウペンシル ナチュラルフィット,メイクアトリエ,1280,極細芯で一本一本描けるアイブロウペンシル。自然な眉毛を演出できるウォータープルーフ処方。反対側にはぼかし用のスクリューブラシ付き。,2025-01-01,FALSE
18,チーク＆リップ デュアルカラー,ルージュドパリ,2180,チークにもリップにも使える2WAYコスメ。クリームタイプでじゅわっと自然な血色感を演出。ポーチに1つあれば便利な万能アイテム。,2025-09-01,FALSE
19,コンシーラー カバーマジック,メイクアトリエ,1580,気になるクマ・シミ・ニキビ跡をしっかりカバーするコンシーラー。ヨレにくいフィット処方で、ファンデの上からでもなじみやすい。3色展開。,2025-06-15,FALSE
20,フィニッシングパウダー シルキーベール,シロハダ,2880,メイクの最後にふわっとのせるだけで、きめ細かなシルキー肌に仕上がるパウダー。テカリを防ぎつつ、肌の乾燥も防ぐバランス処方。,2025-03-01,FALSE
21,ダメージリペアシャンプー,ヘアブロッサム,1680,カラーやパーマで傷んだ髪を補修するアミノ酸系シャンプー。ケラチン配合で髪の内部からダメージを補修し、サラサラの手触りに仕上げます。,2024-07-15,FALSE
22,オーガニックシャンプー ハーバルブリーズ,ボタニカルピュア,2280,植物由来の洗浄成分で髪と頭皮をやさしく洗い上げるオーガニックシャンプー。ラベンダーとカモミールの自然な香りでリラックス効果も。,2024-09-01,TRUE
23,集中補修トリートメント,ヘアブロッサム,1980,週1〜2回のスペシャルケア用トリートメント。ヒートプロテクト成分配合で、ドライヤーの熱からも髪を守り、しっとりまとまる髪へ導きます。,2024-07-15,FALSE
24,ヘアオイル ゴールデンシルク,ルミエール,2580,アルガンオイルベースの洗い流さないヘアオイル。タオルドライ後に数滴なじませるだけで、ツヤのあるまとまりやすい髪に。軽いつけ心地で重くならない。,2024-12-15,FALSE
